Selección,Nombre Jugador,Posición,Club ,Titular,Suplente,Ingreso
Russia,Igor Akinfeev,Arquero,CSKA Moskva,,,
Russia,Vladimir Gabulov,Arquero,Club Brugge,,,
Russia,Andrey Lunev,Arquero,Zenit,,,
Russia,Fedor Kudryashov,Defensa,Rubin Kazan,,,
Russia,Vladimir Granat,Defensa,Rubin Kazan,,,
Russia,Ilya Kutepov,Defensa,Spartak Moskva,,,
Russia,Andrei Semenov,Defensa,Akhmat,,,
Russia,Sergey Ignashevich,Defensa,CSKA Moscú,,,
Russia,Alexandr Samedov,Defensa,Spartak Moskva,,,
Russia,Igor Smolnikov,Defensa,Zenit,,,
Russia,Mário Fernandes,Defensa,CSKA Moskva,,,
Russia,Yuriy Zhirkov,Defensa,Zenit,,,
Russia,Yuriy Gazinskiy,Centrocampista,FC Krasnodar,,,
Russia,Daler Kuzyaev,Centrocampista,Zenit,,,
Russia,Alexandr Erokhin,Centrocampista,Zenit,,,
Russia,Alexandr Golovin,Centrocampista,CSKA Moskva,,,
Russia,Roman Zobnin,Centrocampista,Spartak Moskva,,,
Russia,Alan Dzagoev,Centrocampista,CSKA Moskva,,,
Russia,Alexey Miranchuk,Centrocampista,Lokomotiv Moskva,,,
Russia,Denis Cheryshev,Centrocampista,Villarreal CF,,,
Russia,Anton Mirachuk,Centrocampista,Lokomotiv Moskva,,,
Russia,Fedor Smolov,Delantero,FC Krasnodar,,,
Russia,Artem Dzyuba,Delantero,Arsenal Tula,,,
Saudi Arabia,Mohammed Khalil Al Owais ,Arquero,Al-Ahli/Arabia Saudí,,,
Saudi Arabia,Yasser Al Mosailem,Arquero,Al-Ahli/Arabia Saudí,,,
Saudi Arabia,Abdullah Al Mayoof,Arquero,Al-Hilal/Arabia Saudí,,,
Saudi Arabia,Mansour Al Harbi,Defensa,Al-Ahli/Arabia Saudí,,,
Saudi Arabia,Yasser Al Shahrani,Defensa,Al-Hilal/Arabia Saudí,,,
Saudi Arabia,Mohammed Al Buraik,Defensa,Al-Hilal/Arabia Saudí,,,
Saudi Arabia,Motaz Hawsawi,Defensa,Al-Ahli/Arabia Saudí,,,
Saudi Arabia,Osama Hawsawi,Defensa,Al-Hilal/Arabia Saudí,,,
Saudi Arabia,Omar Hawsawi,Defensa,Al-Nasr/Emiratos Árabes Unidos,,,
Saudi Arabia,Ali Al Bulayhi,Defensa,Al-Hilal/Arabia Saudí,,,
Saudi Arabia,Abdullah Al Khaibari,Centrocampista,Al-Shabab/Arabia Saudí,,,
Saudi Arabia,Abdulmalek Al Khaibari,Centrocampista,Al-Hilal/Arabia Saudí,,,
Saudi Arabia,Abdullah Ateef,Centrocampista,Al-Hilal/Arabia Saudí,,,
Saudi Arabia,Taiseer Al Jassam,Centrocampista,Al-Ahli/Arabia Saudí,,,
Saudi Arabia,Hussain Al Moqahwi,Centrocampista,Al-Ahli/Arabia Saudí,,,
Saudi Arabia,Salman Al Faraj,Centrocampista,Al-Hilal/Arabia Saudí,,,
Saudi Arabia,Mohamed Kanno,Centrocampista,Al-Hilal/Arabia Saudí,,,
Saudi Arabia,Hattan Bahebri,Centrocampista,Al-Shabab/Arabia Saudí,,,
Saudi Arabia,Salem Al Dawsari,Centrocampista,Villarreal CF,,,
Saudi Arabia,Yahia Sulaiman Al Shehri,Centrocampista,Leganés,,,
Saudi Arabia,Fahad Al Muwallad,Delantero,Levante,,,
