"Country";"Rating";"Height";"Weight";"Age";"Weak_foot";"Skill_Moves";"Ball_Control";"Dribbling";"Marking";"Sliding_Tackle";"Standing_Tackle";"Aggression";"Reactions";"Attacking_Position";"Interceptions";"Vision";"Composure";"Crossing";"Short_Pass";"Long_Pass";"Acceleration";"Speed";"Stamina";"Strength";"Balance";"Agility";"Jumping";"Heading";"Shot_Power";"Finishing";"Long_Shots";"Curve";"Freekick_Accuracy";"Penalties";"Volleys";"GK_Positioning";"GK_Diving";"GK_Kicking";"GK_Handling";"GK_Reflexes"
"Spain";87;181.166666666667;76.25;29.0833333333333;3.25;3.08333333333333;82;72.75;59.5833333333333;63;67.4166666666667;68.1666666666667;84.5;69.5833333333333;69.25;78.5;81.6666666666667;68.5833333333333;81.0833333333333;76.75;70.4166666666667;70.8333333333333;75.3333333333333;70.5;68.9166666666667;73.4166666666667;69.8333333333333;66;68.4166666666667;65.0833333333333;63.8333333333333;69.9166666666667;63;66.3333333333333;61.4166666666667;16.75;16.25;16.3333333333333;16.9166666666667;17.3333333333333
"Belgium";86.8181818181818;183.909090909091;81.3636363636364;28.2727272727273;3.45454545454545;3;76.8181818181818;74.2727272727273;50.9090909090909;54.3636363636364;58.4545454545455;69.0909090909091;85;68.8181818181818;55.8181818181818;73.2727272727273;80.3636363636364;68.1818181818182;77;73.4545454545455;74.5454545454545;75.6363636363636;75.8181818181818;74.7272727272727;66.7272727272727;75.1818181818182;70.9090909090909;61.7272727272727;79.2727272727273;65.5454545454545;69.3636363636364;67.6363636363636;65.6363636363636;67.6363636363636;61.2727272727273;17.3636363636364;17.7272727272727;15.1818181818182;18.2727272727273;16.8181818181818
"Brazil";86.3636363636364;180.727272727273;77;28.7272727272727;3.54545454545455;3.09090909090909;78.2727272727273;74.5454545454545;62;65.8181818181818;68.2727272727273;71.7272727272727;84.4545454545455;66.3636363636364;66.8181818181818;74.4545454545455;82.6363636363636;66.5454545454545;78.0909090909091;73.7272727272727;74.4545454545455;74;78.4545454545455;76.3636363636364;70.5454545454545;73.4545454545455;75.8181818181818;66.3636363636364;73.8181818181818;59.3636363636364;65.6363636363636;65.3636363636364;64.1818181818182;61.3636363636364;61.6363636363636;17.8181818181818;17.3636363636364;16.3636363636364;17.1818181818182;16.1818181818182
"Germany";86.2857142857143;186.071428571429;82;27.0714285714286;3.78571428571429;2.71428571428571;75.3571428571429;69;49.9285714285714;54.7142857142857;56.2857142857143;59.6428571428571;84.7142857142857;63.4285714285714;61;76.4285714285714;80.0714285714286;65.1428571428571;78.0714285714286;73.1428571428571;69;72.7142857142857;70.0714285714286;74.9285714285714;63.4285714285714;69.1428571428571;65.6428571428571;62.1428571428571;71.5;58.4285714285714;64.7857142857143;64.4285714285714;56.0714285714286;58.5714285714286;61.7142857142857;20.7857142857143;21.1428571428571;20.4285714285714;21.8571428571429;21.7857142857143
"Argentina";85.6428571428571;180.285714285714;77.0714285714286;29.1428571428571;3.35714285714286;3.14285714285714;78.1428571428571;72.4285714285714;42.3571428571429;46.0714285714286;48.7857142857143;63.9285714285714;83.1428571428571;68.5714285714286;50.2142857142857;73;80.6428571428571;64.1428571428571;75.8571428571429;68.7857142857143;71.3571428571429;70.4285714285714;72.9285714285714;71.8571428571429;70.7857142857143;74.8571428571429;70.9285714285714;66.3571428571429;75;67.6428571428571;67.2857142857143;67.7142857142857;62.8571428571429;65.2857142857143;66.5714285714286;14.2857142857143;15.1428571428571;13.3571428571429;13.9285714285714;15.6428571428571
"France";85.5384615384615;179.307692307692;75.9230769230769;27.3846153846154;3.15384615384615;3.38461538461538;80.2307692307692;75.9230769230769;43.6923076923077;48.0769230769231;50.5384615384615;68.4615384615385;82.7692307692308;71.0769230769231;53;73.3076923076923;81.4615384615385;67.9230769230769;79.7692307692308;71.7692307692308;79.3846153846154;79.4615384615385;76.3846153846154;74.0769230769231;74.0769230769231;77.7692307692308;72.4615384615385;63.4615384615385;73.7692307692308;67.2307692307692;69.0769230769231;68.7692307692308;63.6153846153846;66.4615384615385;68.5384615384615;14.6153846153846;18;13;14.9230769230769;16.6153846153846
"Portugal";83.8461538461538;180.615384615385;74.2307692307692;28.4615384615385;3.61538461538462;3.53846153846154;82;81.4615384615385;59.3846153846154;56.8461538461538;64.0769230769231;73.6153846153846;81.2307692307692;75;65;78.4615384615385;83.6923076923077;73.3846153846154;82;77.1538461538462;76.6923076923077;75;82.5384615384615;70.3076923076923;73.0769230769231;76.9230769230769;70;65.0769230769231;76.3846153846154;68.4615384615385;74.3846153846154;77;66.6153846153846;69.2307692307692;68.3076923076923;16.0769230769231;16.3846153846154;16.3076923076923;16.1538461538462;17.4615384615385
"Croatia";82.9090909090909;183.727272727273;77.8181818181818;28.8181818181818;3.54545454545455;3;75.8181818181818;72.5454545454545;53;59.6363636363636;61.9090909090909;69.8181818181818;78.2727272727273;64.4545454545455;61.5454545454545;72.6363636363636;75.8181818181818;68.1818181818182;74.3636363636364;69.3636363636364;69.9090909090909;70.4545454545455;77.0909090909091;72.9090909090909;65.3636363636364;69.3636363636364;73.3636363636364;63.4545454545455;71.2727272727273;60.2727272727273;63.5454545454545;65.2727272727273;63.4545454545455;63.4545454545455;62.2727272727273;16.1818181818182;17.7272727272727;16.6363636363636;16;16.1818181818182
"England";82.0526315789474;182.157894736842;76.8947368421053;26.3157894736842;3.10526315789474;2.89473684210526;73.2631578947368;71.1052631578947;55.7368421052632;56.6842105263158;59.1578947368421;71.6315789473684;79.6842105263158;67.4210526315789;58.1052631578947;69.9473684210526;76.2105263157895;63.9473684210526;72.6842105263158;65.6315789473684;76.5263157894737;76.9473684210526;77.7894736842105;73.7894736842105;68.8421052631579;73.8947368421053;73.1578947368421;62.6315789473684;69.9473684210526;63.6315789473684;64.6842105263158;62.0526315789474;54.3157894736842;62.4210526315789;58.8947368421053;18.6842105263158;17.7894736842105;17.3684210526316;18.7894736842105;18.4736842105263
"Colombia";81;179.470588235294;76.8823529411765;28.2352941176471;3.05882352941176;3.23529411764706;76.2941176470588;76.2352941176471;45.5882352941176;51.7647058823529;54.0588235294118;68.7647058823529;76.9411764705882;70.5882352941177;51.6470588235294;65.9411764705882;77.3529411764706;63.3529411764706;73.3529411764706;63.5882352941176;78.2941176470588;79.7647058823529;75.7647058823529;74.6470588235294;74.4117647058823;79.2941176470588;76.1176470588235;68.9411764705882;75.4705882352941;66.5294117647059;62.6470588235294;60.2352941176471;52.2352941176471;64.2352941176471;63.2941176470588;18.8235294117647;22.8823529411765;20.7058823529412;20.3529411764706;21.4705882352941
"Uruguay";80.9411764705882;181.882352941176;76.2941176470588;28.1764705882353;3.17647058823529;2.82352941176471;72.8823529411765;69.6470588235294;53.1176470588235;56.5294117647059;58.7058823529412;74.0588235294118;79.0588235294118;66;57.9411764705882;66.5882352941177;76.1764705882353;63.2352941176471;74.4117647058823;66.8235294117647;72.3529411764706;72.5882352941177;77;72.7058823529412;67.2352941176471;71.7058823529412;74.2941176470588;64.1764705882353;72.3529411764706;60.6470588235294;62.5294117647059;63.4117647058824;57.3529411764706;61.8235294117647;60.6470588235294;14.6470588235294;15.5882352941176;15;14.4117647058824;16.0588235294118
