Name,url
Sunil Chhetri,/player/190939/sunil-chhetri/
Cristiano Ronaldo,/player/20801/cristiano-ronaldo/
Kylian Mbappé,/player/231747/kylian-mbapp%C3%A9/
Mohamed Salah,/player/209331/mohamed-salah/
Coutinho,/player/189242/coutinho/
Gabriel Jesus,/player/230666/gabriel-jesus/
Antoine Griezmann,/player/194765/antoine-griezmann/
Samuel Umtiti,/player/205600/samuel-umtiti/
Christian Pulisic,/player/227796/christian-pulisic/
Lionel Messi,/player/158023/lionel-messi/
Paul Pogba,/player/195864/paul-pogba/
Edinson Cavani,/player/179813/edinson-cavani/
Zlatan Ibrahimović,/player/41236/zlatan-ibrahimovi%C4%87/
David Alaba,/player/197445/david-alaba/
Nabil Fekir,/player/216594/nabil-fekir/
Marquinhos,/player/207865/marquinhos/
Paulinho,/player/187961/paulinho/
Gelson Martins,/player/227055/gelson-martins/
Neymar,/player/190871/neymar/
Robert Lewandowski,/player/188545/robert-lewandowski/
Thiago,/player/189509/thiago/
Gareth Bale,/player/173731/gareth-bale/
James Rodríguez,/player/198710/james-rodr%C3%ADguez/
Casemiro,/player/200145/casemiro/
Thomas Müller,/player/189596/thomas-m%C3%BCller/
Roberto Firmino,/player/201942/roberto-firmino/
Marco Asensio,/player/220834/marco-asensio/
Sadio Mané,/player/208722/sadio-man%C3%A9/
Saúl,/player/208421/sa%C3%BAl/
Ousmane Dembélé,/player/231443/ousmane-demb%C3%A9l%C3%A9/
Naby Keïta,/player/220971/naby-ke%C3%AFta/
Youri Tielemans,/player/216393/youri-tielemans/
Giovani Lo Celso,/player/226226/giovani-lo-celso/
Cristian Pavón,/player/224254/cristian-pav%C3%B3n/
Bryan Cristante,/player/208268/bryan-cristante/
Mikel Agu,/player/209984/mikel-agu/
Diego Lainez,/player/237995/diego-lainez/
Takefusa Kubo,/player/237681/takefusa-kubo/
Manuel Neuer,/player/167495/manuel-neuer/
De Gea,/player/193080/de-gea/
Eden Hazard,/player/183277/eden-hazard/
Paulo Dybala,/player/211110/paulo-dybala/
Jan Oblak,/player/200389/jan-oblak/
Thibaut Courtois,/player/192119/thibaut-courtois/
Christian Eriksen,/player/190460/christian-eriksen/
Hugo Lloris,/player/167948/hugo-lloris/
Jordi Alba,/player/189332/jordi-alba/
Arjen Robben,/player/9014/arjen-robben/
Iniesta,/player/41/iniesta/
Ivan Rakitić,/player/168651/ivan-rakiti%C4%87/
Leroy Sané,/player/222492/leroy-san%C3%A9/
Raheem Sterling,/player/202652/raheem-sterling/
Raphaël Varane,/player/201535/rapha%C3%ABl-varane/
Koke,/player/193747/koke/
Kostas Manolas,/player/192774/kostas-manolas/
Marco Reus,/player/188350/marco-reus/
Pepe,/player/120533/pepe/
Alisson,/player/212831/alisson/
Joshua Kimmich,/player/212622/joshua-kimmich/
Fabinho,/player/209499/fabinho/
Alexandre Lacazette,/player/193301/alexandre-lacazette/
David Luiz,/player/179944/david-luiz/
Sergej Milinković-Savić,/player/223848/sergej-milinkovi%C4%87-savi%C4%87/
José María Giménez,/player/216460/jos%C3%A9-mar%C3%ADa-gim%C3%A9nez/
Aymeric Laporte,/player/212218/aymeric-laporte/
Davinson Sánchez,/player/220793/davinson-s%C3%A1nchez/
Corentin Tolisso,/player/219683/corentin-tolisso/
Jonathan Tah,/player/213331/jonathan-tah/
Lucas Vázquez,/player/208618/lucas-v%C3%A1zquez/
Granit Xhaka,/player/199503/granit-xhaka/
Taison,/player/188803/taison/
Milan Škriniar,/player/232363/milan-%C5%A1kriniar/
Nélson Semedo,/player/227928/n%C3%A9lson-semedo/
Antonio Rüdiger,/player/205452/antonio-r%C3%BCdiger/
Rafinha,/player/201400/rafinha/
Jasper Cillessen,/player/199987/jasper-cillessen/
Simone Verdi,/player/196889/simone-verdi/
Mário Fernandes,/player/193525/m%C3%A1rio-fernandes/
Samuel Eto'o,/player/9676/samuel-etoo/
Denis Suárez,/player/205192/denis-su%C3%A1rez/
Héctor Bellerín,/player/203747/h%C3%A9ctor-beller%C3%ADn/
Alphonse Areola,/player/193105/alphonse-areola/
Alan Dzagoev,/player/187735/alan-dzagoev/
Wayne Rooney,/player/54050/wayne-rooney/
Alexandr Golovin,/player/225663/alexandr-golovin/
Óliver Torres,/player/208777/%C3%B3liver-torres/
Djibril Sidibé,/player/201042/djibril-sidib%C3%A9/
Escudero,/player/192679/escudero/
Emmanuel Adebayor,/player/53050/emmanuel-adebayor/
David Neres,/player/236632/david-neres/
Lucas Torreira,/player/223959/lucas-torreira/
Kurt Zouma,/player/204311/kurt-zouma/
Reyes,/player/111093/reyes/
Alban Lafont,/player/231691/alban-lafont/
Lautaro Martínez,/player/231478/lautaro-mart%C3%ADnez/
Breel Embolo,/player/222357/breel-embolo/
Jesé,/player/202515/jes%C3%A9/
Gareth Barry,/player/6826/gareth-barry/
Frenkie de Jong,/player/228702/frenkie-de-jong/
Miha Mevlja,/player/216742/miha-mevlja/
Gareth Bale,/player/173731/gareth-bale/
Hugo Lloris,/player/167948/hugo-lloris/
Samir Handanovič,/player/162835/samir-handanovi%C4%8D/
Mohamed Salah,/player/209331/mohamed-salah/
Mauro Icardi,/player/201399/mauro-icardi/
Marco Verratti,/player/199556/marco-verratti/
James Rodríguez,/player/198710/james-rodr%C3%ADguez/
Lorenzo Insigne,/player/198219/lorenzo-insigne/
Marc-André ter Stegen,/player/192448/marc-andr%C3%A9-ter-stegen/
Sergio Busquets,/player/189511/sergio-busquets/
Jordi Alba,/player/189332/jordi-alba/
Coutinho,/player/189242/coutinho/
Pierre-Emerick Aubameyang,/player/188567/pierre-emerick-aubameyang/
Jérôme Boateng,/player/183907/j%C3%A9r%C3%B4me-boateng/
Marcelo,/player/176676/marcelo/
Mesut Özil,/player/176635/mesut-%C3%B6zil/
Dries Mertens,/player/175943/dries-mertens/
Marek Hamšík,/player/171877/marek-ham%C5%A1%C3%ADk/
Thiago Silva,/player/164240/thiago-silva/
Piqué,/player/152729/piqu%C3%A9/
Arjen Robben,/player/9014/arjen-robben/
Iniesta,/player/41/iniesta/
Casemiro,/player/200145/casemiro/
Isco,/player/197781/isco/
Romelu Lukaku,/player/192505/romelu-lukaku/
Ciro Immobile,/player/192387/ciro-immobile/
Alex Sandro,/player/191043/alex-sandro/
Thomas Müller,/player/189596/thomas-m%C3%BCller/
Azpilicueta,/player/184432/azpilicueta/
Leonardo Bonucci,/player/184344/leonardo-bonucci/
Arturo Vidal,/player/181872/arturo-vidal/
Miralem Pjanić,/player/180206/miralem-pjani%C4%87/
Radja Nainggolan,/player/178518/radja-nainggolan/
Jan Vertonghen,/player/172871/jan-vertonghen/
Ivan Rakitić,/player/168651/ivan-rakiti%C4%87/
Filipe Luís,/player/164169/filipe-lu%C3%ADs/
Zlatan Ibrahimović,/player/41236/zlatan-ibrahimovi%C4%87/
Leroy Sané,/player/222492/leroy-san%C3%A9/
Ederson,/player/210257/ederson/
Yannick Carrasco,/player/208418/yannick-carrasco/
Raheem Sterling,/player/202652/raheem-sterling/
Roberto Firmino,/player/201942/roberto-firmino/
