Country,Name,url
India,Sunil Chhetri,/player/190939/sunil-chhetri/
Portugal,Cristiano Ronaldo,/player/20801/cristiano-ronaldo/
France,Kylian Mbappé,/player/231747/kylian-mbapp%C3%A9/
Argentina,Lionel Messi,/player/158023/lionel-messi/
Egypt,Mohamed Salah,/player/209331/mohamed-salah/
Netherlands,Justin Kluivert,/player/236920/justin-kluivert/
Brazil,Neymar,/player/190871/neymar/
France,Antoine Griezmann,/player/194765/antoine-griezmann/
Brazil,Gabriel Jesus,/player/230666/gabriel-jesus/
Uruguay,Lucas Torreira,/player/223959/lucas-torreira/
France,Thomas Lemar,/player/213565/thomas-lemar/
Portugal,Gelson Martins,/player/227055/gelson-martins/
England,Marcus Rashford,/player/231677/marcus-rashford/
Argentina,Paulo Dybala,/player/211110/paulo-dybala/
France,Ousmane Dembélé,/player/231443/ousmane-demb%C3%A9l%C3%A9/
Spain,Marco Asensio,/player/220834/marco-asensio/
Italy,Simone Verdi,/player/196889/simone-verdi/
Brazil,Coutinho,/player/189242/coutinho/
France,Paul Pogba,/player/195864/paul-pogba/
Germany,Leroy Sané,/player/222492/leroy-san%C3%A9/
Brazil,Roberto Firmino,/player/201942/roberto-firmino/
Russia,Alexandr Golovin,/player/225663/alexandr-golovin/
Belgium,Eden Hazard,/player/183277/eden-hazard/
Wales,Gareth Bale,/player/173731/gareth-bale/
Portugal,Bruno Fernandes,/player/212198/bruno-fernandes/
France,N'Golo Kanté,/player/215914/ngolo-kant%C3%A9/
Senegal,Sadio Mané,/player/208722/sadio-man%C3%A9/
United States,Christian Pulisic,/player/227796/christian-pulisic/
Sweden,Zlatan Ibrahimović,/player/41236/zlatan-ibrahimovi%C4%87/
Germany,Joshua Kimmich,/player/212622/joshua-kimmich/
France,Anthony Martial,/player/211300/anthony-martial/
Argentina,Giovani Lo Celso,/player/226226/giovani-lo-celso/
Serbia,Sergej Milinković-Savić,/player/223848/sergej-milinkovi%C4%87-savi%C4%87/
Belgium,Kevin De Bruyne,/player/192985/kevin-de-bruyne/
Poland,Robert Lewandowski,/player/188545/robert-lewandowski/
England,Harry Kane,/player/202126/harry-kane/
Denmark,Christian Eriksen,/player/190460/christian-eriksen/
Germany,Timo Werner,/player/212188/timo-werner/
Brazil,Paulinho,/player/187961/paulinho/
France,Nabil Fekir,/player/216594/nabil-fekir/
Argentina,Lautaro Martínez,/player/231478/lautaro-mart%C3%ADnez/
Uruguay,Luis Suárez,/player/176580/luis-su%C3%A1rez/
Uruguay,Edinson Cavani,/player/179813/edinson-cavani/
Belgium,Romelu Lukaku,/player/192505/romelu-lukaku/
Brazil,Alisson,/player/212831/alisson/
France,Samuel Umtiti,/player/205600/samuel-umtiti/
Belgium,Youri Tielemans,/player/216393/youri-tielemans/
Germany,Toni Kroos,/player/182521/toni-kroos/
England,Raheem Sterling,/player/202652/raheem-sterling/
England,Dele Alli,/player/211117/dele-alli/
Netherlands,Matthijs de Ligt,/player/235243/matthijs-de-ligt/
France,Djibril Sidibé,/player/201042/djibril-sidib%C3%A9/
Argentina,Mauro Icardi,/player/201399/mauro-icardi/
France,Corentin Tolisso,/player/219683/corentin-tolisso/
France,Clément Lenglet,/player/220440/cl%C3%A9ment-lenglet/
Italy,Federico Chiesa,/player/235805/federico-chiesa/
Argentina,Cristian Pavón,/player/224254/cristian-pav%C3%B3n/
Spain,Riqui Puig,/player/242816/riqui-puig/
Spain,De Gea,/player/193080/de-gea/
Argentina,Gonzalo Higuaín,/player/167664/gonzalo-higua%C3%ADn/
France,Raphaël Varane,/player/201535/rapha%C3%ABl-varane/
Germany,Marco Reus,/player/188350/marco-reus/
Spain,Saúl,/player/208421/sa%C3%BAl/
Belgium,Michy Batshuayi,/player/204529/michy-batshuayi/
France,Benjamin Mendy,/player/204884/benjamin-mendy/
Japan,Takefusa Kubo,/player/237681/takefusa-kubo/
Germany,Thomas Müller,/player/189596/thomas-m%C3%BCller/
England,Alex Oxlade-Chamberlain,/player/198784/alex-oxlade-chamberlain/
Poland,Piotr Zieliński,/player/210406/piotr-zieli%C5%84ski/
France,Benjamin Pavard,/player/226851/benjamin-pavard/
Argentina,Ezequiel Barco,/player/236007/ezequiel-barco/
Spain,Thiago,/player/189509/thiago/
Chile,Alexis Sánchez,/player/184941/alexis-s%C3%A1nchez/
Netherlands,Arjen Robben,/player/9014/arjen-robben/
Spain,Koke,/player/193747/koke/
Brazil,Fabinho,/player/209499/fabinho/
Portugal,William Carvalho,/player/207566/william-carvalho/
Italy,Mario Balotelli,/player/186627/mario-balotelli/
Brazil,Malcom,/player/222737/malcom/
Switzerland,Xherdan Shaqiri,/player/193348/xherdan-shaqiri/
France,Olivier Giroud,/player/178509/olivier-giroud/
England,Eric Dier,/player/202335/eric-dier/
Brazil,Kaká,/player/138449/kak%C3%A1/
Germany,Max Meyer,/player/212150/max-meyer/
Portugal,Diogo Dalot,/player/234574/diogo-dalot/
Italy,Gianluigi Buffon,/player/1179/gianluigi-buffon/
Colombia,James Rodríguez,/player/198710/james-rodr%C3%ADguez/
Belgium,Dries Mertens,/player/175943/dries-mertens/
Spain,Iniesta,/player/41/iniesta/
Brazil,Marquinhos,/player/207865/marquinhos/
France,Alexandre Lacazette,/player/193301/alexandre-lacazette/
France,Kingsley Coman,/player/213345/kingsley-coman/
Italy,Alessio Romagnoli,/player/210413/alessio-romagnoli/
England,Wayne Rooney,/player/54050/wayne-rooney/
Slovenia,Jan Oblak,/player/200389/jan-oblak/
Spain,David Silva,/player/168542/david-silva/
Italy,Lorenzo Insigne,/player/198219/lorenzo-insigne/
Germany,Mesut Özil,/player/176635/mesut-%C3%B6zil/
Belgium,Radja Nainggolan,/player/178518/radja-nainggolan/
Korea Republic,Heung Min Son,/player/200104/heung-min-son/
Argentina,Lionel Messi,/player/158023/lionel-messi/
Portugal,Cristiano Ronaldo,/player/20801/cristiano-ronaldo/
Brazil,Neymar,/player/190871/neymar/
Uruguay,Luis Suárez,/player/176580/luis-su%C3%A1rez/
Germany,Manuel Neuer,/player/167495/manuel-neuer/
Spain,De Gea,/player/193080/de-gea/
Belgium,Kevin De Bruyne,/player/192985/kevin-de-bruyne/
Poland,Robert Lewandowski,/player/188545/robert-lewandowski/
Belgium,Eden Hazard,/player/183277/eden-hazard/
Germany,Toni Kroos,/player/182521/toni-kroos/
Germany,Mats Hummels,/player/178603/mats-hummels/
Argentina,Gonzalo Higuaín,/player/167664/gonzalo-higua%C3%ADn/
Spain,Sergio Ramos,/player/155862/sergio-ramos/
Argentina,Paulo Dybala,/player/211110/paulo-dybala/
Slovenia,Jan Oblak,/player/200389/jan-oblak/
Belgium,Thibaut Courtois,/player/192119/thibaut-courtois/
Croatia,Luka Modrić,/player/177003/luka-modri%C4%87/
Spain,David Silva,/player/168542/david-silva/
Argentina,Sergio Agüero,/player/153079/sergio-ag%C3%BCero/
Italy,Giorgio Chiellini,/player/138956/giorgio-chiellini/
Italy,Gianluigi Buffon,/player/1179/gianluigi-buffon/
France,N'Golo Kanté,/player/215914/ngolo-kant%C3%A9/
England,Harry Kane,/player/202126/harry-kane/
France,Paul Pogba,/player/195864/paul-pogba/
France,Antoine Griezmann,/player/194765/antoine-griezmann/
Denmark,Christian Eriksen,/player/190460/christian-eriksen/
Spain,Thiago,/player/189509/thiago/
Chile,Alexis Sánchez,/player/184941/alexis-s%C3%A1nchez/
Uruguay,Diego Godín,/player/182493/diego-god%C3%ADn/
Uruguay,Edinson Cavani,/player/179813/edinson-cavani/
Wales,Gareth Bale,/player/173731/gareth-bale/
France,Hugo Lloris,/player/167948/hugo-lloris/
Slovenia,Samir Handanovič,/player/162835/samir-handanovi%C4%8D/
Egypt,Mohamed Salah,/player/209331/mohamed-salah/
Argentina,Mauro Icardi,/player/201399/mauro-icardi/
Italy,Marco Verratti,/player/199556/marco-verratti/
Colombia,James Rodríguez,/player/198710/james-rodr%C3%ADguez/
Italy,Lorenzo Insigne,/player/198219/lorenzo-insigne/
Germany,Marc-André ter Stegen,/player/192448/marc-andr%C3%A9-ter-stegen/
Spain,Sergio Busquets,/player/189511/sergio-busquets/
Spain,Jordi Alba,/player/189332/jordi-alba/
Brazil,Coutinho,/player/189242/coutinho/
Gabon,Pierre-Emerick Aubameyang,/player/188567/pierre-emerick-aubameyang/
Germany,Jérôme Boateng,/player/183907/j%C3%A9r%C3%B4me-boateng/
Brazil,Marcelo,/player/176676/marcelo/
Germany,Mesut Özil,/player/176635/mesut-%C3%B6zil/
Belgium,Dries Mertens,/player/175943/dries-mertens/
Slovakia,Marek Hamšík,/player/171877/marek-ham%C5%A1%C3%ADk/
Brazil,Thiago Silva,/player/164240/thiago-silva/
Spain,Piqué,/player/152729/piqu%C3%A9/
Netherlands,Arjen Robben,/player/9014/arjen-robben/
Spain,Iniesta,/player/41/iniesta/
Brazil,Casemiro,/player/200145/casemiro/
Spain,Isco,/player/197781/isco/
Belgium,Romelu Lukaku,/player/192505/romelu-lukaku/
Italy,Ciro Immobile,/player/192387/ciro-immobile/
Brazil,Alex Sandro,/player/191043/alex-sandro/
Germany,Thomas Müller,/player/189596/thomas-m%C3%BCller/
Spain,Azpilicueta,/player/184432/azpilicueta/
Italy,Leonardo Bonucci,/player/184344/leonardo-bonucci/
Chile,Arturo Vidal,/player/181872/arturo-vidal/
Bosnia Herzegovina,Miralem Pjanić,/player/180206/miralem-pjani%C4%87/
Belgium,Radja Nainggolan,/player/178518/radja-nainggolan/
Belgium,Jan Vertonghen,/player/172871/jan-vertonghen/
Croatia,Ivan Rakitić,/player/168651/ivan-rakiti%C4%87/
Brazil,Filipe Luís,/player/164169/filipe-lu%C3%ADs/
Sweden,Zlatan Ibrahimović,/player/41236/zlatan-ibrahimovi%C4%87/
Germany,Leroy Sané,/player/222492/leroy-san%C3%A9/
Brazil,Ederson,/player/210257/ederson/
Belgium,Yannick Carrasco,/player/208418/yannick-carrasco/
England,Raheem Sterling,/player/202652/raheem-sterling/
Brazil,Roberto Firmino,/player/201942/roberto-firmino/
France,Raphaël Varane,/player/201535/rapha%C3%ABl-varane/
Senegal,Kalidou Koulibaly,/player/201024/kalidou-koulibaly/
Austria,David Alaba,/player/197445/david-alaba/
